source,target,value
objective-c,osx,24.763189829170084
ios,osx,30.341581071883272
linux,osx,23.41281493970028
regex,perl,21.364077886249937
oracle,plsql,45.06151433906438
sql,plsql,22.717442387504864
mysql,postgresql,25.909942488756776
ruby-on-rails,postgresql,25.69011032907274
mongodb,postgresql,22.855557000277642
django,postgresql,22.48925264318247
ruby,postgresql,21.79517505760149
flask,python,25.251371861419308
c++,python,24.301045666206715
machine-learning,python,30.27077436735024
django,python,49.905942953683244
c,python,22.320432253935472
r,python,28.53574785327096
linux,python,21.17036044400364
python,r,28.53574785327096
matlab,r,20.021932698311588
machine-learning,r,23.21869703965049
reactjs,react-native,61.53102297253567
node.js,react-native,22.16325031188543
node.js,reactjs,55.192747551978705
react-native,reactjs,61.53102297253567
angularjs,reactjs,31.62020230471286
mongodb,reactjs,22.3209731892725
javascript,reactjs,33.56735910485145
perl,regex,21.364077886249937
postgresql,ruby,21.79517505760149
ruby-on-rails,ruby,95.36131071220332
postgresql,ruby-on-rails,25.69011032907274
ruby,ruby-on-rails,95.36131071220332
haskell,scala,22.757440009799737
apache-spark,scala,50.79184563415286
bash,shell,24.71706557378606
linux,shell,21.131792917374074
plsql,sql,22.717442387504864
sql-server,sql,24.354772917848095
c#,sql,25.613903617043626
oracle,sql,21.82760476470736
asp.net,sql,21.6722646057341
.net,sql-server,32.322524219339904
asp.net,sql-server,59.67328948689907
sql,sql-server,24.354772917848095
c#,sql-server,45.91465123552504
iphone,swift,36.02337467321895
objective-c,swift,79.08853577916759
ios,swift,87.21964246099864
angular2,typescript,38.87998222920348
linux,ubuntu,29.894342585346926
linux,unix,25.357412874239948
c#,visual-studio,27.71554342863794
linux,windows,29.945400773839896
osx,windows,20.860246776482484
json,xml,42.721668458812765
